FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
AAZQ11,INDEFINIDO,"9,26","959.232,89","0,96","0,12","1,32 %","3,95 %","7,79 %","16,05 %","1,32 %","1,30 %","1,46 %","16,05 %","0,00 %","1,32 %","9,13 %","231.822.163,06","9,64","0,96","1,24 %","0,00 %","0,00 %","0,00 %",0,"14,51",23.739,N/A,N/A,N/A
ABCP11,SHOPPINGS,"74,83","73.517,31","0,74","0,65","0,93 %","2,66 %","4,95 %","9,39 %","0,89 %","0,83 %","0,78 %","9,39 %","0,52 %","1,45 %","3,59 %","478.010.469,38","101,51","0,74","0,64 %","10,55 %","11,26 %","19,18 %",1,"15,07",17.205,N/A,N/A,N/A
AFHI11,PAPÉIS,"98,22","927.823,03","1,02","1,00","1,00 %","3,09 %","6,30 %","13,10 %","1,03 %","1,05 %","1,09 %","13,10 %","2,32 %","3,34 %","17,16 %","321.041.569,91","96,03","1,02","1,04 %","1,12 %","2,17 %","8,58 %",0,"8,20",27.831,N/A,N/A,N/A
AGRX11,OUTROS,"10,80","510.650,78",N/A,"0,15","1,37 %","4,13 %","7,90 %","17,37 %","1,38 %","1,32 %","1,45 %","17,37 %","0,00 %","1,37 %","27,17 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"15,43",0,N/A,N/A,N/A
AIEC11,LAJES CORPORATIVAS,"55,46","789.930,72","0,67","1,33","2,33 %","5,04 %","8,37 %","14,68 %","1,68 %","1,40 %","1,22 %","14,68 %","1,91 %","4,29 %","-4,93 %","401.216.234,32","83,15","0,67","1,60 %","-11,08 %","-9,66 %","-8,61 %",2,"16,96",16.789,N/A,N/A,N/A
AJFI11,SHOPPINGS,"9,59","1.020.453,31","1,00","0,07","0,72 %","0,72 %","0,72 %","0,72 %","0,72 %","0,72 %","0,72 %","0,72 %","0,00 %","0,00 %",N/A,"303.522.331,87",N/A,N/A,N/A,N/A,N/A,N/A,0,"12,25",6.735,N/A,N/A,N/A
ALMI11,LAJES CORPORATIVAS,"651,00","88.204,52","0,31","0,37","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"239.528.331,03","2.046,78","0,32","0,00 %","-0,05 %","-0,05 %","0,90 %",1,"34,23",2.239,N/A,N/A,N/A
ALZM11,FUNDO DE FUNDOS,"8,65","243.299,67","1,02","0,11","1,22 %","3,30 %","5,77 %","11,63 %","1,10 %","0,96 %","0,97 %","11,63 %","3,13 %","4,39 %","15,52 %","129.280.035,30","8,52","1,02","1,28 %","-90,79 %","-90,68 %","-90,29 %",0,"19,08",5.674,N/A,N/A,N/A
ALZR11,MISTO,"117,80","1.543.867,47","1,12","0,80","0,67 %","2,09 %","4,22 %","8,53 %","0,70 %","0,70 %","0,71 %","8,53 %","1,53 %","2,21 %","13,74 %","1.039.173.322,38","105,39","1,12","0,76 %","-1,40 %","-0,66 %","7,29 %",13,"10,97",149.502,N/A,N/A,N/A
APTO11,IMÓVEIS RESIDENCIAIS,"9,76","34.352,56","0,94","0,09","0,92 %","2,77 %","5,80 %","12,88 %","0,92 %","0,97 %","1,07 %","12,88 %","0,62 %","1,54 %","26,18 %","41.467.547,86","10,33","0,94","0,87 %","3,71 %","4,62 %","19,45 %",4,"17,06",9.877,N/A,N/A,N/A
